sensornames	offset	stdev offset
Mid01_rect	0.023464937268466605	0.012793595415500087
Top01_rect	-0.038564097107831444	0.011871147938721544
Top02	-0.02386600595592913	0.01211364602605955
Top03	-0.051894818951269364	0.012012901210239428
Top04	-0.03444916222794588	0.011789095704800875
Top05	-0.031630819724033823	0.012018042014495014
Top06	-0.0280526594134918	0.011698170576460368
Top07	-0.04582603609529183	0.011308757411895486
Top08	-0.01670755309152244	0.01124955186179455
Mid10	-0.0329471988886062	0.012540579786932935
Mid11	-0.020476317116524066	0.012888395742749057
Mid12	-0.004491838418046034	0.012762061574885304
Mid13	-0.0211844494040326	0.012734305135480578
Mid14	-0.06823277728863297	0.012845235404588842
Mid15	-0.040208468091772503	0.012439569192024106
Mid16	-0.20426773305866888	0.012458856229956664
Bot02	0.004727651309212088	0.009329498198191784
Bot03	0.019210488355455208	0.009662995189672311
Bot04	0.021601736897403974	0.009548075804396226
Bot05	-0.02070670640134252	0.009563787577675729
Bot06	0.013621992963525167	0.009631678178763594
Bot07	0.01971526908647722	0.009520841250742868
Bot08	0.016208382193015188	0.009713516718508512
Vert03_layer	0.10301307188467326	0.009667223333403939
Vert03_bulk	0.015679272758957398	0.009489377381364976
Vert01_layer	-0.05555876945991651	0.01000944184090962
Vert01_bulk	-0.022818649778232444	0.009529383646072993
Vert02_layer	-0.07019860615158562	0.01002371270510234
Vert02_bulk	-0.034469255463435086	0.009246739893281963
Vert07	-0.04539621734856868	0.010168280796823567
Vert04	0.0839542903095529	0.010124133161067262
Vert06	0.08144369222434149	0.010093058221163359
Vert05	-0.04303625742195993	0.010274318275054407
Cool01	0.10035075880739006	0.010320409547917301
Cool02	-0.07052787682647192	0.010230789042639354
Cool03	-0.0033967251236041115	0.010126242585400857
Cool04	0.04320534847016009	0.010550774850973025
Cool05	-0.03901552324253725	0.01077242542286355
Cool06	0.10202873120939873	0.009954610512218683
Cool07	-0.07733962179520341	0.010054763140540253
Cool08	0.021000828980811185	0.009907294532982254
Top09	-0.047960575606224624	0.011713451961932879
Top10	-0.0460148632556689	0.011775409194788637
Top11	-0.02910698822132001	0.012217098885916305
Top12	-0.025541000011349027	0.011808559376928394
Top13	-0.04071665474412104	0.011814312366377937
Top14	-0.0371979260349083	0.01211045703896442
Top15	-0.022109003933893537	0.0120987858043425
Top16	-0.02521963858000895	0.012019759143148876
Mid02	-0.22421378883760215	0.013235144847984711
Mid03	-0.011310325240242815	0.013064740071796999
Mid04	-0.008688923854291201	0.012960883202429134
Mid05	-0.0184637746988218	0.013156072730396203
Mid06	-0.008993663797170771	0.012797653235824876
Mid07	-0.007592605785010119	0.012695972721570623
Mid08	-0.025428075201390447	0.013238319624202409
Mid09	-0.05990895366494049	0.013029216899576571
Bot09	-0.023737992257853703	0.009137515065445826
Bot10	-0.032005431487121094	0.00955292668557478
Bot11	-0.036998349076596944	0.009469637197595146
Bot12	-0.04006418160367872	0.009675451502824603
Bot13	-0.033652645588611606	0.009573369743474336
Bot14	-0.03592440658092167	0.009766066412043303
Bot15	-0.05728368821562452	0.009599976472972805
Bot16	-0.026838102501420626	0.00960033255151265
Cool_in	0.19706632417773037	0.016694262904327992
Cool_out	0.08716983444593544	0.01101978745102611
Heat_in	0.18936136326972736	0.02250882801918331
Heat_out	0.1859310409559415	0.015778613275949423
Heat01	0.018549676375665757	0.015215007513916962
Heat02	0.00830503749800537	0.014437679802526523
Heat03	0.19554278326213215	0.014207534013937042
Heat04	0.02500061564721034	0.013925230038054386
Heat05	-0.01314029612968119	0.014551707693345612
Heat06	0.16082771204203866	0.013942514997173692
Heat07	0.17223749357607793	0.013738174216965373
Heat08	0.1741576647856313	0.014167521010104047
